w,freq,cat,lang,tr,alt
तल,200,NE,ne,tala,
तातो,200,NE,ne,tato,
तारा,200,NE,ne,tara,
ताल,200,NE,ne,taal,
तेल,200,NE,ne,tel,
त्यस्तो,200,NE,ne,tyasto,
थोरै,200,NE,ne,thorai,
दही,200,NE,ne,dahi,
दाँत,200,NE,ne,daant,
दाइ,200,NE,ne,dai,
दाल,200,NE,ne,daal,
दिउँसो,200,NE,ne,diuso,diunso
दिदी,200,NE,ne,didi,
दिनु,200,NE,ne,dinu,
दुःख,200,NE,ne,dukha,
दूध,200,NE,ne,dudh,
धन्यबाद,200,NE,ne,danyabad,
धर्म,200,NE,ne,dharma,
धेरै,200,NE,ne,dherai,
न,200,NE,ne,na,
नदी,200,NE,ne,nadi,
नाक,200,NE,ne,naak,
नाच,200,NE,ne,naach,
नुन,200,NE,ne,nun,
नेता,200,NE,ne,neta,
पछि,200,NE,ne,pachhi,
पठाउनु,200,NE,ne,pathaunu,
पढ्नु,200,NE,ne,padhnu,
पनि,200,NE,ne,pani,
पसल,200,NE,ne,pasal,
पहाड,200,NE,ne,pahad,
पात,200,NE,ne,paat,
पिउनु,200,NE,ne,piunu,
पुतली,200,NE,ne,putali,
पुरुष,200,NE,ne,purush,
पुल,200,NE,ne,pul,
पेट,200,NE,ne,pet,
प्याज,200,NE,ne,pyaj,
फल,200,NE,ne,phal,
फिल्म,200,NE,ne,film,
फूल,200,NE,ne,phool,
फेरि,200,NE,ne,pheri,
फोक्सो,200,NE,ne,phokso,focso
फोटो,200,NE,ne,photo,
फोन,200,NE,ne,phone,
फोहोर,200,NE,ne,fohor,
बच्चा,200,NE,ne,bachcha,
बजार,200,NE,ne,bazar,
बर्ष,200,NE,ne,barsha,
बस्नु,200,NE,ne,basnu,
बहिनी,200,NE,ne,bahini,
बाँदर,200,NE,ne,baandar,
बाख्रा,200,NE,ne,bakhra,
बादल,200,NE,ne,baadal,
बारी,200,NE,ne,bari,
बाहिर,200,NE,ne,bahira,
बिरामी,200,NE,ne,birami,
बिरालो,200,NE,ne,biralo,
बिस्तारै,200,NE,ne,bistarai,
बिहान,200,NE,ne,bihan,
बीउ,200,NE,ne,biu,
बुझ्नु,200,NE,ne,bujjhnu,
बुबा,200,NE,ne,buba,
बेच्नु,200,NE,ne,bechnu,
बेलुका,200,NE,ne,beluka,
बोल्नु,200,NE,ne,bolnu,
भाइ,200,NE,ne,bhai,
भात,200,NE,ne,bhat,
भित्र,200,NE,ne,bhitra,
भेट्नु,200,NE,ne,bhetnu,
भेडा,200,NE,ne,bheda,
भैंसी,200,NE,ne,bhainsi,
मकै,200,NE,ne,makai,
मन्दिर,200,NE,ne,mandir,
महिना,200,NE,ne,mahina,
महिला,200,NE,ne,mahila,
माछा,200,NE,ne,machha,
मात्र,200,NE,ne,matra,
माथि,200,NE,ne,mathi,
मासु,200,NE,ne,masu,
मुख,200,NE,ne,mukh,
मुटु,200,NE,ne,mutu,
मोबाइल,200,NE,ne,mobile,
मौरी,200,NE,ne,mauri,
यस्तो,200,NE,ne,hyasto,yasto
रगत,200,NE,ne,ragat,
राख्नु,200,NE,ne,rakhnu,
राम्ररी,200,NE,ne,ramrari,
रुनु,200,NE,ne,runu,
रूख,200,NE,ne,rookh,
रोटी,200,NE,ne,roti,
लसुन,200,NE,ne,lasun,
लिनु,200,NE,ne,linu,
लेख्नु,200,NE,ne,lekhnu,
वर्षा,200,NE,ne,barsha,
विद्यालय,200,NE,ne,bidhyalaya,
शहर,200,NE,ne,shahar,
शान्ति,200,NE,ne,shanti,
संस्कृति,200,NE,ne,sanskriti,
सजिलो,200,NE,ne,sajilo,
सपना,200,NE,ne,sapana,
सफा,200,NE,ne,sapha,safa
सबै,200,NE,ne,sabai,
समय,200,NE,ne,samaya,
सरकार,200,NE,ne,sarkar,
सर्प,200,NE,ne,sarpa,
सिक्नु,200,NE,ne,siknu,
सुख,200,NE,ne,sukha,
सुत्नु,200,NE,ne,sutnu,
सुन्तला,200,NE,ne,suntala,
सुन्नु,200,NE,ne,sunnu,
सूर्य,200,NE,ne,surya,
सोच्नु,200,NE,ne,sochnu,
स्याउ,200,NE,ne,syau,
स्वास्थ्य,200,NE,ne,swasthya,
हड्डी,200,NE,ne,haddi,
हप्ता,200,NE,ne,hapta,
हाँस्नु,200,NE,ne,haasnu,hansnu
हात,200,NE,ne,haat,
हात्ती,200,NE,ne,hatti,
हावा,200,NE,ne,hawa,
हिँड्नु,200,NE,ne,hidnu,hindnu
हिउँ,200,NE,ne,hiun,
हिमाल,200,NE,ne,himal,
हुन्छ,200,NE,ne,hunchha,
हेर्नु,200,NE,ne,hernu,
हो,200,NE,ne,ho,
नेपालको,4000,NE,ne,nepalko,
रूपमा,3984,NE,ne,rupma,
यस,3954,NE,ne,c,
भएको,3942,NE,ne,bhaeko,
रहेको,3912,NE,ne,raheko,
थियो,3889,NE,ne,theo,
गरिएको,3835,NE,ne,garieko,
थिए,3785,NE,ne,thie,
उनले,3769,NE,ne,unle,
सामग्रीहरू,3756,NE,ne,samagriharu,
गरेका,3749,NE,ne,gareka,
गरेको,3743,NE,ne,gareko,
आफ्नो,3722,NE,ne,afno,
नेपालका,3717,NE,ne,nepalka,
चलचित्र,3691,NE,ne,chalchitra,
जनसङ्ख्या,3660,NE,ne,janasankhya,
यसको,3658,NE,ne,yasko,
जिल्लाका,3651,NE,ne,jillaka,
गाविस,3627,NE,ne,gavis,
उनको,3624,NE,ne,unko,
रहेका,3582,NE,ne,raheka,
खेलाडी,3575,NE,ne,kheladi,
भएका,3557,NE,ne,bhaeka,
ढाँचा,3540,NE,ne,dhaancha,
सन्दर्भसूची,3530,NE,ne,sandarbhasuchi,
हुने,3521,NE,ne,hune,
गाउँपालिका,3519,NE,ne,gaunpalika,
विकिपिडिया,3495,NE,ne,wikipedia,
कडीहरू,3492,NE,ne,kadiharu,
सबैभन्दा,3489,NE,ne,sabaibhanda,
पृष्ठको,3473,NE,ne,prishthako,
अवस्थिति,3452,NE,ne,awasthiti,
भन्दा,3435,NE,ne,bhanda,
झण्डा,3433,NE,ne,jhanda,
युआरएल,3431,NE,ne,url,
हुन,3420,NE,ne,huna,
सम्म,3415,NE,ne,samma,
जिल्लाहरू,3411,NE,ne,jillaharu,
नक्सा,3408,NE,ne,naksa,
अन्तर्राष्ट्रिय,3405,NE,ne,antarrastriya,
जसले,3398,NE,ne,jasale,
भन्ने,3398,NE,ne,bhanne,
हेर्नुहोस्,3398,NE,ne,hernuhos,
गर्दै,3372,NE,ne,gardai,
उनलाई,3363,NE,ne,unlai,
यसलाई,3349,NE,ne,yasalai,
नेपालमा,3348,NE,ne,nepalma,
अनुप्रेषण,3325,NE,ne,anupreshan,
क्षेत्रफल,3324,NE,ne,kshetrafal,
क्षेत्रको,3317,NE,ne,kshetrako,
लेखहरू,3308,NE,ne,lekhharu,
मानिसहरू,3307,NE,ne,manisharu,
प्रदेशहरू,3292,NE,ne,pradeshharu,
यसले,3292,NE,ne,yasale,
जसमा,3276,NE,ne,jasma,
गरेर,3251,NE,ne,garera,
समयमा,3250,NE,ne,samayama,
थापा,3246,NE,ne,thapa,
जस्तै,3244,NE,ne,jastai,
एमाले,3243,NE,ne,emale,
जसमध्ये,3231,NE,ne,jasmadhye,
गाविसहरू,3225,NE,ne,gawisharu,
टोली,3214,NE,ne,tolly,
युटिसी,3207,NE,ne,youticy,
यहाँको,3204,NE,ne,yahanko,
घरधुरी,3199,NE,ne,ghardhuri,
भारतको,3198,NE,ne,bharatko,
लेनिनवादी,3195,NE,ne,leninwadi,
गरेकी,3185,NE,ne,gareki,
वडाहरू,3184,NE,ne,wadaharu,
जस्ता,3175,NE,ne,jasta,
ठाउँहरू,3173,NE,ne,thauharu,thaaunharu
जसको,3171,NE,ne,jasko,
विश्वकप,3169,NE,ne,vishwakap,
गरिन्छ,3169,NE,ne,garinchha,
आएको,3164,NE,ne,aeko,
नक्सामा,3164,NE,ne,naksama,
ओभर,3156,NE,ne,obhar,
जिल्लाको,3156,NE,ne,jillako,
पर्ने,3151,NE,ne,parne,
अर्को,3151,NE,ne,arko,
यसमा,3151,NE,ne,yasama,
खेलकुद,3147,NE,ne,khelkud,
जातीयता,3139,NE,ne,jatiyata,
पाइने,3136,NE,ne,paine,
भनेर,3133,NE,ne,bhanera,
जसलाई,3130,NE,ne,jasalai,
मन्त्रालय,3128,NE,ne,mantralya,
वर्षको,3127,NE,ne,warshako,
अभिनेत्रीहरू,3127,NE,ne,abhinetriharu,
थिइन्,3122,NE,ne,thiin,
ठुटो,3112,NE,ne,thuto,
त्यस,3111,NE,ne,tyas,
अगस्ट,3109,NE,ne,auguste,
भनिन्छ,3104,NE,ne,bhaninchha,
गर्दछ,3100,NE,ne,gardachha,
अभिनेत्री,3094,NE,ne,abhinetri,
त्यसपछि,3091,NE,ne,tyasapachhi,
बारेमा,3089,NE,ne,barema,
खेलमा,3088,NE,ne,khelma,
फागुन,3084,NE,ne,fagun,
भारतका,3082,NE,ne,bharatka,
बनेको,3075,NE,ne,baneko,
समितिहरूको,3062,NE,ne,samitiharuko,
आफ्ना,3061,NE,ne,afna,
चलचित्रहरू,3058,NE,ne,chalchitraharu,
पश्चिमाञ्चल,3054,NE,ne,pashchimanchal,
लामो,3050,NE,ne,lamo,
तेस्रो,3048,NE,ne,tesro,
उपजिल्ला,3039,NE,ne,upajilla,
गाउँपालिकाको,3034,NE,ne,gaunpalikako,
सुबेदी,3027,NE,ne,subedi,
सङ्घीय,3023,NE,ne,sanghiya,
सङ्गीत,3013,NE,ne,sangit,
स्थानमा,3013,NE,ne,sthanma,
क्षेत्रहरूको,3010,NE,ne,kshetraharuko,
सुधारिएका,3007,NE,ne,sudharieka,
हुन्छन्,3004,NE,ne,hunchhan,
जम्मा,2993,NE,ne,jamma,
राई,2987,NE,ne,rae,
एसियाली,2986,NE,ne,asealy,
मध्यमाञ्चल,2977,NE,ne,madhyamanchal,
राज्यको,2974,NE,ne,rajyako,
नगरपालिकाको,2974,NE,ne,nagarpalikako,
सकिन्छ,2973,NE,ne,sakinchha,
भएर,2972,NE,ne,bhaera,
सालमा,2970,NE,ne,salma,
साविकका,2968,NE,ne,sawikaka,
यसका,2967,NE,ne,yasaka,
सामान्यतया,2965,NE,ne,samanyataya,
प्रकारको,2964,NE,ne,prakarko,
प्रदेशका,2959,NE,ne,pradeshka,
उनीहरूको,2949,NE,ne,uniharuko,
कर्णाली,2946,NE,ne,karnali,
भारतमा,2945,NE,ne,bharatma,
क्रममा,2940,NE,ne,kramama,
गरिएका,2939,NE,ne,garieka,
बङ्गलादेशको,2937,NE,ne,bangaladeshko,
भएपछि,2925,NE,ne,bhaepachhi,
भनेको,2919,NE,ne,bhaneko,
युरोपेली,2917,NE,ne,europeli,
शमशेर,2917,NE,ne,shamasher,shumsher
बिप्लब,2910,NE,ne,biplab,
बसोबास,2908,NE,ne,basobas,
खेलाडीहरू,2904,NE,ne,kheladiharu,
भाषामा,2902,NE,ne,bhashama,
गरिने,2899,NE,ne,garine,
गुरुङ,2898,NE,ne,gurung,
कान्तिपुर,2898,NE,ne,kantipur,
अनलाइन,2894,NE,ne,unline,
राखिएको,2892,NE,ne,rakhieko,
उपजिल्लामा,2889,NE,ne,upajillama,
भदौ,2889,NE,ne,bhadau,
गर्छन्,2883,NE,ne,garchhan,
त्यहाँ,2882,NE,ne,tyahan,
अवस्थामा,2881,NE,ne,awasthama,
दिइएको,2881,NE,ne,diieko,
प्रविधि,2879,NE,ne,prawidhi,
छोटो,2878,NE,ne,chhoto,
प्रहरी,2877,NE,ne,prahari,
भाषाको,2877,NE,ne,bhashako,
पौडेल,2876,NE,ne,poudel,paudel
गर्नुहोस्,2873,NE,ne,garnuhos,
दुवै,2873,NE,ne,duwai,
पोखरा,2872,NE,ne,pokhara,
जस्तो,2866,NE,ne,jasto,
त्यसैले,2864,NE,ne,tyasaile,
प्रजातन्त्र,2863,NE,ne,prajatantra,
गरेपछि,2860,NE,ne,garepachhi,
बाहिरी,2860,NE,ne,bahiri,
देशको,2855,NE,ne,deshko,
सरकारले,2855,NE,ne,sarkarle,
सुरुवात,2851,NE,ne,suruwat,
रुपमा,2850,NE,ne,rupma,
यसरी,2847,NE,ne,yasari,
हुनु,2847,NE,ne,hunu,
दिएका,2847,NE,ne,dieka,
वनस्पति,2846,NE,ne,banaspati,vanaspati
सुदूरपश्चिम,2846,NE,ne,sudurapashchim,
उम्मेदवार,2843,NE,ne,ummedwar,
बनाउने,2843,NE,ne,banaune,
त्यसको,2842,NE,ne,tyasko,
बनाउन,2842,NE,ne,banauna,
मापदण्ड,2842,NE,ne,mapdanda,
अश्लील,2841,NE,ne,ashlila,ashleel
आफ्नै,2840,NE,ne,afnai,
इतिहासमा,2835,NE,ne,itihasma,
विमानस्थल,2833,NE,ne,vimansthal,
भएकी,2832,NE,ne,bhaeki,
अस्ट्रेलिया,2831,NE,ne,astrelia,
जनसङ्ख्याको,2828,NE,ne,janasangkhyako,
बोलिने,2828,NE,ne,boline,
गर्छ,2826,NE,ne,garchha,
ठाउँमा,2823,NE,ne,thaunma,
युइएफए,2823,NE,ne,uefa,
चितवन,2822,NE,ne,chitwan,
बनेका,2822,NE,ne,baneka,
दायाँ,2812,NE,ne,dayaan,
साझा,2810,NE,ne,sajha,
फ्रान्सेली,2809,NE,ne,franseli,francelli
परेको,2808,NE,ne,pareko,
हाम्रो,2807,NE,ne,hamro,
विश्वव्यापी,2807,NE,ne,wishwawyapi,
मुख्यतया,2806,NE,ne,mukhyataya,
कुस्ती,2805,NE,ne,kusti,
भिडियो,2800,NE,ne,bhidiyo,
विकिपिडियामा,2799,NE,ne,wikipediama,
पुगेको,2797,NE,ne,pugeko,
यसै,2795,NE,ne,yasai,
नामले,2794,NE,ne,namale,
बाहेक,2794,NE,ne,bahek,
दूरसञ्चार,2792,NE,ne,dursanchar,
समितिको,2791,NE,ne,samitiko,
भएकाले,2791,NE,ne,bhaekale,
कारणले,2790,NE,ne,karanle,
नियन्त्रण,2787,NE,ne,niyantran,
पाकिस्तानको,2785,NE,ne,pakistanko,
क्याम्पस,2784,NE,ne,campuses,
उनीहरूले,2784,NE,ne,uniharule,
छलफल,2782,NE,ne,chhalfal,
मानिन्छ,2782,NE,ne,maninchha,
सरकारको,2780,NE,ne,sarkarko,
चौथो,2778,NE,ne,chautho,
बेलायती,2777,NE,ne,belayati,
सक्छ,2776,NE,ne,sakchha,
सङ्गठन,2775,NE,ne,sangathan,
त्रिभुवन,2775,NE,ne,tribhuvan,tribhuwan
लिएर,2774,NE,ne,liera,
विश्वको,2773,NE,ne,wishwako,
सक्ने,2773,NE,ne,sakne,
मद्दत,2771,NE,ne,maddat,
लेखको,2766,NE,ne,lekheko,lekhko
उनीहरू,2766,NE,ne,uniharu,
नभएको,2765,NE,ne,nabhaeko,
एएफसी,2761,NE,ne,afc,
गर्नका,2760,NE,ne,garnaka,
तामाङ,2760,NE,ne,tamang,
विज्ञ,2757,NE,ne,vigya,
प्रकारका,2753,NE,ne,prakarka,
उमेरमा,2752,NE,ne,umerma,
झन्डा,2752,NE,ne,jhanda,
निकुञ्ज,2751,NE,ne,nikunj,
बनाइएको,2749,NE,ne,banaieko,
भाषाका,2748,NE,ne,bhashaka,
पर्छ,2747,NE,ne,parchha,
सदरमुकाम,2746,NE,ne,sadarmukam,
मन्त्रिपरिषद्,2744,NE,ne,mantriparishad,
नगरपालिकाहरू,2744,NE,ne,nagarpalikaharu,
चलचित्रमा,2741,NE,ne,chalchitrama,
जङ्गबहादुर,2741,NE,ne,jungbahadur,
सर्लाही,2740,NE,ne,sarlahi,
उपमहानगरपालिका,2740,NE,ne,upamahanagarpalika,
सदस्यहरू,2740,NE,ne,sadasyaharu,
हुनाले,2740,NE,ne,hunale,
सोभियत,2739,NE,ne,sobhiyat,
आउने,2738,NE,ne,aune,
बनाएको,2735,NE,ne,banaeko,
सगरमाथा,2734,NE,ne,sagarmatha,
नुवाकोट,2734,NE,ne,nuwakot,nuwakote
प्रतियोगितामा,2730,NE,ne,pratiyogitama,
अझै,2728,NE,ne,ajhai,
छनोट,2728,NE,ne,chhanot,
भक्तपुर,2724,NE,ne,bhaktapur,
सिर्जना,2723,NE,ne,srijana,
साक्षरता,2722,NE,ne,saksharta,
राजमार्ग,2722,NE,ne,rajmarg,
प्रदेशको,2721,NE,ne,pradeshko,
भएकोले,2719,NE,ne,bhaekole,
रङ्गशाला,2718,NE,ne,rangashala,
खड्का,2717,NE,ne,khadka,
पाल्पा,2716,NE,ne,palpa,
आजको,2715,NE,ne,ajko,
यस्ता,2714,NE,ne,yasta,
शासित,2713,NE,ne,shasit,shaasit
महिलाको,2712,NE,ne,mahilako,
लिङ्कहरू,2712,NE,ne,linkharu,
गरियो,2711,NE,ne,gariyo,
एम,2711,NE,ne,eam,
सिराहा,2709,NE,ne,siraha,
लेखिएको,2708,NE,ne,lekhieko,
बीचको,2708,NE,ne,bichko,
पौडी,2707,NE,ne,paudi,
लोकतान्त्रिक,2707,NE,ne,loktantrik,
लगायतका,2703,NE,ne,lagayatka,
विकिपरियोजना,2701,NE,ne,wikiperiojna,
गाउँपालिकाहरू,2700,NE,ne,gaunpalikaharu,
अन्त्य,2699,NE,ne,antya,
तर्फबाट,2699,NE,ne,tarfabata,
कास्की,2698,NE,ne,kaski,
विषयमा,2697,NE,ne,vishayama,
फैलिएको,2696,NE,ne,failieko,
कैलाली,2695,NE,ne,kailali,
पृष्ठहरू,2694,NE,ne,prishthaharu,
शताब्दीको,2691,NE,ne,shatabdiko,
सम्बन्धमा,2689,NE,ne,sambandhama,
मिलेर,2684,NE,ne,milera,
लागेको,2684,NE,ne,lageko,
सृजना,2684,NE,ne,srijana,
दर्ता,2682,NE,ne,darta,
गर्दछन्,2682,NE,ne,gardachhan,
दक्षिणमा,2682,NE,ne,dakshinma,
हरेक,2680,NE,ne,harek,
माथिल्लो,2677,NE,ne,mathillo,
दैलेख,2677,NE,ne,dailekh,
त्यस्तै,2676,NE,ne,tyastai,
विजेताहरू,2675,NE,ne,vijetaharu,
गुल्मी,2674,NE,ne,gulmi,
मानिसहरूको,2672,NE,ne,manisharuko,
अग्लो,2670,NE,ne,aglo,
नदीको,2669,NE,ne,nadiko,
सामेल,2667,NE,ne,samel,
नवलपरासी,2666,NE,ne,nawalparasi,
नेतृत्वमा,2666,NE,ne,netritwama,
मात्रै,2665,NE,ne,matrai,
तल्लो,2664,NE,ne,tallo,
घिमिरे,2662,NE,ne,ghimire,
पृष्ठमा,2662,NE,ne,prishthama,
राज्यहरू,2662,NE,ne,rajyaharu,
पाण्डे,2661,NE,ne,pandey,
गीतहरू,2661,NE,ne,githaru,
महोत्तरी,2660,NE,ne,mahottari,
दलको,2659,NE,ne,dalko,
सालको,2658,NE,ne,salko,
जोडिएको,2658,NE,ne,jodieko,
अर्ब,2657,NE,ne,arb,
अभिनेताहरू,2656,NE,ne,abhinetaharu,
विश्वका,2656,NE,ne,vishwaka,
उनकी,2656,NE,ne,unki,
पप,2655,NE,ne,popp,
जनघनत्व,2654,NE,ne,janaghanatwa,
सञ्जाल,2653,NE,ne,sanjal,
राजनीतिज्ञहरू,2649,NE,ne,rajnitigyaharu,
मकवानपुर,2648,NE,ne,makwanpur,
सुनसरी,2648,NE,ne,sunsari,
देखिन्छ,2644,NE,ne,dekhinchha,
सुवेदी,2644,NE,ne,suwedi,
थुप्रै,2643,NE,ne,thuprai,
मात्रामा,2643,NE,ne,matrama,
शैक्षिक,2641,NE,ne,shaikshik,
सिन्धुपाल्चोक,2638,NE,ne,sindhupalchok,
कार्यक्रममा,2636,NE,ne,karyakramma,
कपिलवस्तु,2635,NE,ne,kapilawastu,
भनिएको,2635,NE,ne,bhanieko,
कागजात,2631,NE,ne,kagjat,
पानीको,2630,NE,ne,paniko,
खेल्ने,2630,NE,ne,khelne,
चलचित्रको,2630,NE,ne,chalchitrako,
निर्वाचनमा,2629,NE,ne,nirvachanma,
अमेरिकाको,2628,NE,ne,americako,
उपजिल्लाको,2628,NE,ne,upajillako,
सेतोपाटी,2628,NE,ne,setopati,
कम्पनीको,2626,NE,ne,companyko,
शताब्दीमा,2626,NE,ne,shatabdima,
भट्टराई,2625,NE,ne,bhattarai,
सहरहरू,2624,NE,ne,saharharu,
हालको,2624,NE,ne,halko,
खेलको,2624,NE,ne,khelko,
डोटी,2624,NE,ne,doti,
हरियो,2624,NE,ne,hariyo,
मनाङ,2622,NE,ne,manang,
प्रतियोगिताको,2621,NE,ne,pratiyogitako,
तराई,2621,NE,ne,tarai,
फिर्ता,2621,NE,ne,firta,
युद्धमा,2620,NE,ne,yuddhama,
पोखरेल,2616,NE,ne,pokharel,pokhrel
तनहुँ,2616,NE,ne,tanahun,
क्षेत्रहरूमा,2616,NE,ne,kshetraharuma,
धनकुटा,2615,NE,ne,dhankuta,
साङ्गीतिक,2615,NE,ne,sangitik,
न्यु,2615,NE,ne,nyu,
उमेर,2614,NE,ne,umera,
श्रेणीमा,2614,NE,ne,shrenima,
हालसम्म,2614,NE,ne,halsamma,
तिनीहरू,2613,NE,ne,tiniharu,
खेलहरू,2611,NE,ne,khelharu,
गर्नको,2611,NE,ne,garnako,
त्यसलाई,2610,NE,ne,tyasalai,
सशस्त्र,2609,NE,ne,sashastra,
सेनाको,2609,NE,ne,senako,
बस्ने,2609,NE,ne,basne,
युद्धको,2609,NE,ne,yuddhako,
जितेर,2608,NE,ne,jitera,
लभ्स,2607,NE,ne,labhsa,
सङ्कलन,2607,NE,ne,sankalan,
स्थलहरू,2606,NE,ne,sthalharu,
सुर्खेत,2605,NE,ne,surkhet,
सूचीमा,2604,NE,ne,suchima,
नाममा,2604,NE,ne,namma,
शब्दको,2603,NE,ne,shabdako,
सेनाले,2603,NE,ne,senale,
अछाम,2602,NE,ne,achham,
रुपन्देही,2602,NE,ne,rupandehi,
साथमा,2601,NE,ne,sathama,
रुकुम,2599,NE,ne,rukum,
महिनामा,2599,NE,ne,mahinama,
मिनेट,2599,NE,ne,minet,
बङ्गलादेशका,2598,NE,ne,bangaladeshka,
माध्यमबाट,2596,NE,ne,madhyambata,
खैरो,2593,NE,ne,khairo,
विमिन,2591,NE,ne,womin,
पार्टीको,2591,NE,ne,partyko,
बनाएका,2591,NE,ne,banaeka,
हरूको,2591,NE,ne,haruko,
एडिटाथन,2590,NE,ne,aditathon,
तपाईँ,2589,NE,ne,tapain,
जीवनको,2588,NE,ne,jiwanko,
वीरविक्रम,2588,NE,ne,viravikram,
परेका,2588,NE,ne,pareka,
क्षेत्रलाई,2587,NE,ne,kshetralai,
उनीहरूलाई,2586,NE,ne,uniharulai,
जसका,2583,NE,ne,jaska,
बलिउड,2583,NE,ne,baliud,
धनगढी,2582,NE,ne,dhangadhi,
धादिङ,2582,NE,ne,dhading,
एभिएन,2582,NE,ne,ebhien,
गोल्डकप,2582,NE,ne,goldcup,
बैतडी,2581,NE,ne,baitadi,
बोहरा,2581,NE,ne,bohora,
श्रव्य,2580,NE,ne,shrawya,
फाल्गुन,2575,NE,ne,falgun,
उपजिल्लाले,2575,NE,ne,upajillale,
सङ्केत,2574,NE,ne,sanket,
घटनाहरू,2572,NE,ne,ghatanaharu,
